index,cell_type,category,target_cell_type,general_cell_type,parental_cell_type,donor_tissue,CellType,Treatment,progenitor cell type,Comment,SRR_accession,QC_summary,SRX_accession,SRS_accession,SRP_accession,GSE_accession,Sample_name,Library_name,SampleName,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
11,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR296099,PASS,ERX269437,ERS252028,ERP003259,SAMEA2078456,,hESCs_SONknockdown_RNA_Rep2,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:43:55,25967679,3947087208,25967679,152,2547,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296099/ERR296099.1,hESCs_SONknockdown_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,227C564F92BCD1C4B2C2510AD4BD434B,7BC14372747584159E4BE32F88906E87
12,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR296100,PASS,ERX269435,ERS252028,ERP003259,SAMEA2078456,,hESCs_SONknockdown_RNA_Rep1,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:43:44,22098133,3358916216,22098133,152,2147,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296100/ERR296100.1,hESCs_SONknockdown_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,11F33CDA1D2F63B6948B4907C62D3327,5788C25C8665B62F7F3AEC9536E4EA36
13,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR296101,PASS,ERX269438,ERS252028,ERP003259,SAMEA2078456,,hESCs_SONknockdown_RNA_Rep1,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:41:43,33547380,5099201760,33547380,152,3027,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296101/ERR296101.1,hESCs_SONknockdown_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,D829BB55C0DE8EDE26BB3B3D00FEF8D3,B51981B1B5D2E604EF4507081017B92D
14,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR296102,PASS,ERX269428,ERS252028,ERP003259,SAMEA2078456,,hESCs_control_RNA_Rep2,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:48:42,22338945,3395519640,22338945,152,2190,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296102/ERR296102.1,hESCs_control_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,CA279EFC58FBC2C460910341CF0E7FEB,F991BA4A69B7B83981BCA7E92848A3F3
15,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR296103,PASS,ERX269431,ERS252028,ERP003259,SAMEA2078456,,hESCs_control_RNA_Rep1,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:49:18,27158031,4128020712,27158031,152,2660,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296103/ERR296103.1,hESCs_control_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,6897B2CAB883448FDCC8CBCBDFAE7050,0ACA3C757708FB3D44632D3CE76DA830
16,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR296104,PASS,ERX269430,ERS252028,ERP003259,SAMEA2078456,,hESCs_control_RNA_Rep1,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:49:08,36754290,5586652080,36754290,152,3293,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296104/ERR296104.1,hESCs_control_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,326C4E2587ED72A1C0F2B8C200A59287,CB87257462EDCB5AF5186ED9372FE1A9
17,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR296105,PASS,ERX269433,ERS252028,ERP003259,SAMEA2078456,,hESCs_control_RNA_Rep2,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:48:37,22409672,3406270144,22409672,152,2174,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296105/ERR296105.1,hESCs_control_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,2F7639B47B8A6EE3BF136FE6A15A20DD,86B87C8AE76BC0E74BCA9B0D5F3B6B61
18,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR296106,PASS,ERX269439,ERS252028,ERP003259,SAMEA2078456,,hESCs_control_RNA_Rep1,SAMEA2078456,2013-09-10 06:03:54,2013-08-31 03:49:25,27220319,4137488488,27220319,152,2638,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR296106/ERR296106.1,hESCs_control_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP003259,PRJEB4007,NA,217815,ERS252028,SAMEA2078456,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA223775,,public,FF996F2D45B858385E909585E118ADFA,B99D81C2545B0D9902BAC6991B11FD79
19,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR361240,PASS,ERX334016,ERS363973,ERP004211,SAMEA2234721,,3iL_hESCs_RNA_Rep2,SAMEA2234721,2013-12-11 01:42:10,2013-12-05 22:58:21,51928787,3946587812,0,76,2538,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361240/ERR361240.1,3iL_hESCs_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004211,PRJEB4879,NA,231274,ERS363973,SAMEA2234721,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA260913,,public,D6FCC9341BBA425AB1CC5D62D8379A7F,CACF64D76AE2193767E4DFCABF6216EE
20,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR361241,PASS,ERX334015,ERS363974,ERP004211,SAMEA2234722,,hESCs_RNA_Rep1,SAMEA2234722,2013-12-11 01:42:10,2013-12-05 22:58:45,58148523,4419287748,0,76,2839,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361241/ERR361241.1,hESCs_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004211,PRJEB4879,NA,231274,ERS363974,SAMEA2234722,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA260913,,public,6325410495EB589FBBD5592EB4336217,28B0A9F265E6F590FFD9A8D98107BA0F
21,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR361242,PASS,ERX334013,ERS363973,ERP004211,SAMEA2234721,,3iL_hESCs_RNA_Rep1,SAMEA2234721,2013-12-11 01:42:10,2013-12-05 22:59:40,54642555,4152834180,0,76,2676,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361242/ERR361242.1,3iL_hESCs_RNA_Rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004211,PRJEB4879,NA,231274,ERS363973,SAMEA2234721,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA260913,,public,E4A9B505BF4755461AE82C2F9B87A420,87C79E121B99033A7D254E0FD0A90297
22,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR361243,PASS,ERX334012,ERS363974,ERP004211,SAMEA2234722,,hESCs_RNA_Rep3,SAMEA2234722,2013-12-11 01:42:10,2013-12-05 23:00:11,54851191,4168690516,0,76,2675,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361243/ERR361243.1,hESCs_RNA_Rep3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004211,PRJEB4879,NA,231274,ERS363974,SAMEA2234722,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA260913,,public,F310E03E81C87554EFBDC379BE3D994D,5AC246EDEB7F67A1F4F352ECB76D10F8
23,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR361244,PASS,ERX334011,ERS363973,ERP004211,SAMEA2234721,,3iL_hESCs_RNA_Rep3,SAMEA2234721,2013-12-11 01:42:10,2013-12-05 23:02:09,51224012,3893024912,0,76,2493,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361244/ERR361244.1,3iL_hESCs_RNA_Rep3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004211,PRJEB4879,NA,231274,ERS363973,SAMEA2234721,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA260913,,public,28A04FC84E728B06047708A8DB890B78,9B05EFC5E33F27A0F7739F0C037C1894
24,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR361245,PASS,ERX334014,ERS363974,ERP004211,SAMEA2234722,,hESCs_RNA_Rep2,SAMEA2234722,2013-12-11 01:42:10,2013-12-05 23:04:03,53858299,4093230724,0,76,2634,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR361245/ERR361245.1,hESCs_RNA_Rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,ERP004211,PRJEB4879,NA,231274,ERS363974,SAMEA2234722,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA260913,,public,17C4B8D7C0544B3EFEED82589270A321,D4E6196C47A84CC21AFBBAC976BAF1EA
25,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR368941,PASS,ERX341650,ERS370606,ERP004298,SAMEA2248196,,hESCs_RNA,SAMEA2248196,2014-05-14 14:11:58,2014-05-18 01:00:54,24295755,3692954760,24295755,152,2395,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/ERR368941/ERR368941.1,hESCs_RNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP004298,PRJEB4957,NA,243040,ERS370606,SAMEA2248196,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA266624,,public,AA46A184E9123FC517D17536D3F43F0C,B04A79AD9F6AD1DA0B294E330940438E
26,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR368942,PASS,ERX341651,ERS370605,ERP004298,SAMEA2248195,,hESCs_HERVH_knockdown_RNA,SAMEA2248195,2014-05-14 14:11:58,2014-05-18 01:20:54,28527734,4336215568,28527734,152,2756,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR368942/ERR368942.1,hESCs_HERVH_knockdown_RNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP004298,PRJEB4957,NA,243040,ERS370605,SAMEA2248195,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA266624,,public,C0B67CD47AEE43125D2E8610610881B9,F7D2491FE0CC4A5EAFFDBEA68BB5F0E0
27,ESC,standard,NA,ESC,NA,,ESC,treated,,,ERR368943,PASS,ERX341652,ERS370605,ERP004298,SAMEA2248195,,hESCs_HERVH_knockdown_RNA,SAMEA2248195,2014-05-14 12:45:26,2014-05-11 06:22:17,28513092,4333989984,28513092,152,2784,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR368943/ERR368943.1,hESCs_HERVH_knockdown_RNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP004298,PRJEB4957,NA,243040,ERS370605,SAMEA2248195,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA266624,,public,103395F1EA300758B59CA22918CF0D5C,90A3DDE619E043BB6B2732A20BEC9FDA
28,ESC,standard,NA,ESC,NA,,ESC,untreated,,,ERR368944,PASS,ERX341653,ERS370606,ERP004298,SAMEA2248196,,hESCs_RNA,SAMEA2248196,2014-05-14 12:45:26,2014-05-12 08:09:41,24348343,3700948136,24348343,152,2374,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/ERR368944/ERR368944.1,hESCs_RNA,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,300,0,ILLUMINA,Illumina HiSeq 2000,ERP004298,PRJEB4957,NA,243040,ERS370606,SAMEA2248196,simple,9606,Homo sapiens,,,,,male,,no,,,,,GIS,ERA266624,,public,B266EE4F3FD5C7BEDE4DA0E4285CDE21,A0CFF063F344C63A6C88814225EC0CF7
29,ESC,standard,NA,ESC,NA,,ESC,untreated,,"H1, cultured using feeder-free chemically defined adherent cell culture system",SRR037170,"WARN(1,3,4,5,6,7)",SRX017369,SRS011896,SRP002079,GSM517435,GSE20301,hESC_A_p1_1 (Illumina),GSM517435,2010-03-12 02:01:30,2014-05-26 21:50:02,3322551,116289285,0,35,80,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR037170/SRR037170.3,hESC_A_p1_1 (Illumina),RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002079,PRJNA125337,2,125337,SRS011896,SAMN00009665,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA012181,,public,76C17C6EA49ADF958F12B4FFE3DF3CF2,CD27828A636854821AB2BB71FBD5ECF3
30,ESC,standard,NA,ESC,NA,,ESC,untreated,,"H1, undifferentiated H1 hESCs",SRR037174,"WARN(1,4,5,7)",SRX017371,SRS011898,SRP002079,GSM517437,GSE20301,hESC_B_p1_1 (Illumina),GSM517437,2010-03-11 02:03:27,2014-05-26 21:50:24,5276153,348226098,5276153,66,170,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR037174/SRR037174.3,hESC_B_p1_1 (Illumina),RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,250,0,ILLUMINA,Illumina Genome Analyzer II,SRP002079,PRJNA125337,2,125337,SRS011898,SAMN00009667,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA012181,,public,BA9270026AAE95F8CB4308EBB4EA436F,73F12A774CDD8F59C37AA1C45950D59A
31,ESC,standard,NA,ESC,NA,,ESC,untreated,,"H1, undifferentiated H1 hESCs",SRR037177,"WARN(1,3,4,5,6,7)",SRX017372,SRS011898,SRP002079,GSM517437,GSE20301,hESC_B_p1_1 (Illumina),GSM517437,2010-03-10 14:46:44,2014-05-26 21:50:10,3747287,101176749,0,27,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR037177/SRR037177.3,hESC_B_p1_1 (Illumina),RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002079,PRJNA125337,2,125337,SRS011898,SAMN00009667,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA012181,,public,202B6BABA6D2DEF0C39A4344791A6555,BFBDC83E40DEBE502E55E16B5329A2AF
32,ESC,standard,NA,ESC,NA,,ESC,untreated,,"H1, undifferentiated H1 hESCs",SRR037178,"WARN(1,3,4,5,6,7)",SRX017373,SRS011898,SRP002079,GSM517437,GSE20301,hESC_B_p1_1 (Illumina),GSM517437,2010-03-10 14:46:47,2014-05-26 21:50:14,4340991,151934685,0,35,62,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR037178/SRR037178.3,hESC_B_p1_1 (Illumina),RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP002079,PRJNA125337,2,125337,SRS011898,SAMN00009667,simple,9606,Homo sapiens,,,,,,,no,,,,,GEO,SRA012181,,public,21AA09ADDDA8C1DC9CCE489B1EF9C9D7,FB78D5C1028C2EE849FC1B6374238B24
